Strangers (2007 Hindi film)
Gayab
Tango Charlie
Angrezi Medium
MSG: The Messenger
Aśoka (film)
Chatur Singh Two Star
Daddy Cool (2009 Hindi film)
Hunterrr
Dabangg
Hulchul (2004 film)
Ramaiya Vastavaiya
PK (film)
Comedy film
Dirty Politics
An Action Hero
Chargesheet (film)
Maa Tujhhe Salaam (2002 film)
Code Name Abdul
Aahana Kumra
Musafir (2004 film)
Ram Singh Charlie
Pataakha
Taj Mahal: An Eternal Love Story
Yea Toh Two Much Ho Gayaa
Hotel Milan
Sons of Ram
Baar Baar Dekho
Vikram Kumar
Chance Pe Dance
Zokkomon
Dolly Ki Doli
Golmaal Again
Basti (film)
Antim: The Final Truth
Company (2002 film)
Tumbbad
Saathi: The Companion
Malik Ek
Flight (2021 film)
M Cream
Bin Bulaye Baraati
The Train (2007 film)
Ankahee (2006 film)
Bhoothnath
Tulsi (film)
Once Again (2018 film)
Housefull 4
Panipat (film)
OMG – Oh My God!
Rahul (film)
Chase (2010 film)
Angel (2011 film)
My Name Is Khan
Kajraare
Shararat (2002 film)
Shershaah
Ishq-e-Nadaan
Waiting (2015 film)
Mela (2000 film)
Pyaar Ka Punchnama 2
Jeena Isi Ka Naam Hai (film)
Phir Milenge (2004 film)
Housefull 2
Soorma (film)
Yeh Zindagi Ka Safar
Dunno Y... Na Jaane Kyon
Kyun! Ho Gaya Na...
Cheeni Kum
Court Martial (2020 film)
Risk (2007 film)
14 Phere
Marjaavaan
Escape from Taliban
Rakht
Phoonk 2
Kaanchli Life in a Slough
Berlin (2024 film)
Baby John (film)
Aligarh (film)
Heartless (2014 film)
Ae Dil Hai Mushkil
FryDay
Swami (2007 film)
Bhoothnath Returns
Zameen (2003 film)
50 Lakh
Jigariyaa
Amit Singh Kashyap (page does not exist)
The Shaukeens
Mardaani 2
Khichdi 2: Mission Paanthukistan
Patna Shuklla
Kaun Hai Jo Sapno Mein Aaya
Aliya Basu Gayab Hai
Jugni (2016 film)
Dev (2004 film)
Mona Darling
Tiku Weds Sheru
Panga (film)
Hind Ka Napak Ko Jawab: MSG Lion Heart 2
Atkan Chatkan
3G (film)
Ahista Ahista (2006 film)
Bbuddah... Hoga Terra Baap
Khel Toh Ab Shuru Hoga
Saare Jahaan Se Mehnga
Aamir (film)
Ek Haseena Thi Ek Deewana Tha
Lakeerein
Main Prem Ki Diwani Hoon
Mukhbiir
Nasha Jurm Aur Gangsters
CityLights (2014 film)
Hum Chaar
Chain Kulii Ki Main Kulii
99.9 FM (film)
Ramayana: The Epic
Satellite Shankar
Black & White (2008 Hindi film)
Lust Stories
Housefull (2010 film)
Jai Mummy Di
Yeh Dil Aashiqanaa
Guru (2007 film)
Once Upon a Time in Mumbaai
Pepper Chicken
Kacchey Limbu
Laaga Chunari Mein Daag
Satya 2
Judaa Hoke Bhi
Mumbhai Connection
Shaadisthan
Zanjeer (2013 film)
The Buckingham Murders
Jogi (2022 film)
Music Teacher (film)
Pagleaazam
Ardh
Dedh Bigha Zameen
Hey Ram
The Girl on the Train (2021 film)
Susant Mishra
Lantrani
Mr Joe B. Carvalho
Azhar (film)
Savita Bhabhi
Kushti (film)
Don 2
"Shahrukh Bola ""Khoobsurat Hai Tu"""
One Friday Night
Chand Bujh Gaya
Yakeen (2005 film)
Mumbai Salsa
Naam (2024 film)
Pandavas: The Five Warriors
Refugee (2000 film)
Mumbai Matinee
Khamoshi (2019 film)
Shaitan (film)
Badmaash Company
Santa Banta Pvt Ltd
Gracy Singh
International Hero (film)
Gali Guleiyan
Karar: The Deal
Bunty Aur Babli 2
Maseeha
Karma Aur Holi
Jhootha Hi Sahi
Phone Bhoot
Eklavya: The Royal Guard
Dvand: The Internal Conflict
I See You (2006 film)
Bell Bottom (2021 film)
Chintu Ji
Awarapan
Yuvvraaj
Mod (film)
Sehar
Khwaabon Ka Jhamela
Mr. Singh Mrs. Mehta
Khoobsurat (2014 film)
Alag
Titli (2014 film)
Koi Jaane Na
Samrat & Co.
Double Cross (2005 film)
Bholaa
Laal Kaptaan
Kharidaar (page does not exist)
Fugly (film)
The Legend of Michael Mishra
Love All (2023 film)
Kartam Bhugtam
Woodstock Villa
Second Generation (2000 film) (page does not exist)
Jamun (film) (page does not exist)
The Sabarmati Report
Ferrari Ki Sawaari
Tehzeeb (2003 film)
Mickey Virus
Tubelight (2017 Hindi film)
Speed (2007 film)
Hadh Kar Di Aapne
